代碼,sku,上層,類型,名稱,稅率類別,原價,分類,有庫存,庫存,低庫存量,無庫存下單,單獨販售,位置,屬性 1 名稱,屬性 1 值,屬性 1 可見,屬性 2 名稱,屬性 2 值,屬性 2 可見,圖片,商品說明,商品簡短描述,屬性 2 全域,Meta: ocean_both_sidebars_content_width,Meta: ocean_both_sidebars_sidebars_width,Meta: ocean_sidebar,Meta: ocean_second_sidebar,Meta: ocean_center_header_left_menu,Meta: ocean_custom_header_template,Meta: ocean_custom_logo,Meta: ocean_custom_retina_logo,Meta: ocean_custom_logo_max_width,Meta: ocean_custom_logo_tablet_max_width,Meta: ocean_custom_logo_mobile_max_width,Meta: ocean_custom_logo_max_height,Meta: ocean_custom_logo_tablet_max_height,Meta: ocean_custom_logo_mobile_max_height,Meta: ocean_header_custom_menu,Meta: ocean_menu_typo_font_family,Meta: ocean_menu_typo_font_size,Meta: ocean_menu_typo_line_height,Meta: ocean_menu_typo_spacing,Meta: ocean_post_title_background,Meta: ocean_post_title_height,Meta: ocean_post_title_bg_overlay,Meta: ocean_custom_footer_template,Meta: rank_math_internal_links_processed,Meta: rank_math_seo_score,Meta: rank_math_primary_product_cat
,Test-01,,variable,2024秋 多款印花縮口鬆緊長褲 6色,,,"VIVID-I,bottom下身",1,,,0,0,0,尺寸,"XS,S,M,L,XL,JS,JM",1,顏色,"碎花, 大泰迪, 蝴蝶結小熊, 笑臉, 直條紋, 格紋",1,https://wababewa.com/collections/%E6%96%B0%E5%93%81-%EF%BD%8E%EF%BD%85%EF%BD%97/products/%E9%A0%90%E8%B3%BC-kids%E8%BF%AA%E5%A3%AB%E5%B0%BC%E5%85%AC%E4%B8%BB%E6%A3%89%E8%B3%AA%E6%B4%8B%E8%A3%9D-3colors-2-3-2-2-2-1-1-1-2-1-1-1-1-1-2-1-1-2-2-1-1-1-3-1-1-4-1-1-1-2-1-1-2-2-1-1-2-2-2-4-1-1-2-1-2-1-1-1-2-2-1-1-1-1-1-1-1-1-1-1-2-1-1-1-1-2-2-1-2-1-1-2-1-1-1,"<table style=""height: 193px; width: 36.3987%; border-collapse: collapse;"" cellspacing=""200"">
<tbody>
<tr style=""height: 24px;"">
<td style=""height: 24px; border-style: double; text-align: center; width: 42.7686%;"" colspan=""3"">VIVID-I</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">XS</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">75-90cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">8-10kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">S</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">90-100cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">10-15kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">M</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">100-105cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">15-17kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">L</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">105-110cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">17-20kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">XL</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">110-120cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">20-22kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""width: 15.4103%; text-align: center; border-style: double; height: 25px;"">JS</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 25px;"">120-128cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 25px;"">22-27kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""width: 15.4103%; text-align: center; border-style: double; height: 24px;"">JM</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">128-135cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">27-31kg</td>
</tr>
</tbody>
</table>
&nbsp;<img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_1.jpg"" alt=""讓多款印花縮口鬆緊長褲6色成為超好看的最愛，因為它百搭。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_2.jpg"" alt=""時尚的多款印花縮口鬆緊長褲6色，完美結合小孩與可愛。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_3.jpg"" alt=""穿上多款印花縮口鬆緊長褲6色，孩子們會愛上百搭的感覺。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_4.jpg"" alt=""多款印花縮口鬆緊長褲6色，展現了款和女生的獨特風格。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_5.jpg"" alt=""穿上多款印花縮口鬆緊長褲6色，孩子們會愛上兒童的感覺。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_6.jpg"" alt=""這款多款印花縮口鬆緊長褲6色，為孩子的小孩增添可愛。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_7.jpg"" alt=""讓多款印花縮口鬆緊長褲6色成為兒童必備的最愛，因為它百搭。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_8.jpg"" alt=""多款印花縮口鬆緊長褲6色帶來兒童必備的舒適感受。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_9.jpg"" alt=""這款多款印花縮口鬆緊長褲6色，為超好看帶來百搭風格。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_10.jpg"" alt=""這款多款印花縮口鬆緊長褲6色，為孩子的兒童必備增添百搭。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_11.jpg"" alt=""多款印花縮口鬆緊長褲6色，融合兒童必備與秋款，增添個性。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_12.jpg"" alt=""多款印花縮口鬆緊長褲6色，展現了超好看和可愛的獨特風格。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_13.jpg"" alt=""多款印花縮口鬆緊長褲6色，讓每個孩子看起來更寶貝。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_14.jpg"" alt=""穿上多款印花縮口鬆緊長褲6色，孩子們會愛上款的感覺。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_15.jpg"" alt=""時尚的多款印花縮口鬆緊長褲6色，完美結合兒童必備與百搭。"" width=""100%""><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/10/2024秋多款印花縮口鬆緊長褲6色_16.jpg"" alt=""多款印花縮口鬆緊長褲6色帶來小孩的舒適感受。"" width=""100%"">",<ul><li>商品預購約需7-30個工作天（不含假日）。</li><li>尺寸表僅供品牌參考，實際穿著效果可能因孩子身型差異有所不同。</li><li>CherryTwins 與韓國童裝市場同步更新商品，賣場大部分商品為預購型態，現貨將另行註明。</li><li>部分實拍商品及文案屬於 CherryTwins 所有，賣場商品圖及MD實穿照片由韓國品牌方提供。</li></ul>,0,,,0,0,0,0,,,,,,,,,0,0,,,,,,0.5,0,1,,
